,0,1
0,"..._ip, ..._port",(4): IP and port of client / srver
1,packets_...,(3): Number of packets sent by client / server / both
2,ack_...,(3): Number of ACK packets sent by client / server / both
3,packets_A_B_ratio,(1): Ratio between packets sent by client and sent by server
4,asn_...,"(2): Number of autonomous systems served as client, server"
5,push_...,(3): Number of packets with PSH flag sent by client / server / both
6,bytes_...,(3): Number of bytes sent by client / server / both
7,reset_...,(3): Number of packets with RST flag sent by client / server / both
8,bytes_A_B_ratio,(1): Ratio between number of bytes sent and number of bytes received
9,ssl_count_certificates,(1): Number of SSL certificates
10,cap_date,(1): date of data capturing start
11,ssl_count_client_...,(6): Client: Number of supported SSL cipher algorithms / ciphersuites / compressions / eliptic curves / key exchange algorithms / MAC algorithms
12,country_...,(2): Number of countries systems served as client / server
13,ssl_count_server_...,(6): Server: Number of supported SSL cipher algorithms / ciphersuites / compressions / eliptic curves / key exchange algorithms / MAC algorithms
14,daysTime,(1): When during the day communication was established
15,ssl_dom_server_ciphersuite,(1): Number of SSL versions
16,dns_alexaRank,(1): DNS response server Alexa rank
17,ssl_dom_server_compression,(5): Dominated SSL ciphersuite / eliptic curve / server name / server rank / version
18,dns_count_addresses,(4): Number of adresses / answer / authoritative / additional fields in DNS response
19,ssl_handshake_duration_...,"(10): SSL handshake duration: Minimum value, quartile 1, average, median (quartile 2), sum, quartile 3, maximum value, standard deviation, variance, entropy"
20,dns_count_canon_names,(1): Number of canonical names in DNS response
21,ssl_ratio_...,(7): Ratio between ssl sessions and: expired certificates / client cipher algorithms / ciphersuits / eliptic curves / client key exchange algorithms / client MAC algorithms / server names
22,dns_flag,(1): DNS response flags combinations
23,ssl_req_bytes_...,"(10): Number of request bytes: Minimum value, quartile 1, average, median (quartile 2), sum, quartile 3, maximum value, standard deviation, variance, entropy"
24,dns_host_name,(1): DNS host name
25,ssl_resp_bytes_...,"(10): Number of response bytes: Minimum value, quartile 1, average, median (quartile 2), sum, quartile 3, maximum value, standard deviation, variance, entropy"
26,dns_min_ttl,(1): DNS response minimal time-to-live
27,start,(1): session start (date-time)
28,dns_pre_bad_requests,(1): Number of preceding bad DNS responses
29,tcp_analysis_...,(6): TCP: Number of packets with Keep Alive packets / lost segments / packets received out of order / retransmitted packets / reused ports / duplicake ACKs
30,dns_time,(1): Time took to receive DNS response
31,ttl_A_...,"(10): TCP packet time-to-live sent by client: Minimum value, quartile 1, average, median (quartile 2), sum, quartile 3, maximum value, standard deviation, variance, entropy"
32,ds_field_...,(2): Differentiated Services (DS) field sent by client / server
33,ttl_...,"(10): TCP packet time-to-live: Minimum value, quartile 1, average, median (quartile 2), sum, quartile 3, maximum value, standard deviation, variance, entropy"
